response,feedback_type,contrast_right,contrast_left,response_time,mouse,session,contrast_diff,contrast_diff_abs,condition
0.0,-1.0,1.0,0.25,2.017367204448874,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.2502767033868167,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.5441083478876863,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.0573635571117848,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.2026798315525866,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.2527958156852037,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.2560101458075223,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.25,1.6361502148627096,Cori,1,0.75,0.75,go
1.0,1.0,0.25,0.5,1.1191092418548578,Cori,1,-0.25,0.25,go
1.0,1.0,0.0,1.0,1.220058734363647,Cori,1,-1.0,1.0,go
1.0,-1.0,0.5,0.0,0.7692769338830203,Cori,1,0.5,0.5,go
0.0,-1.0,0.0,0.5,2.288977145214176,Cori,1,-0.5,0.5,go
0.0,-1.0,0.0,1.0,2.033774541589537,Cori,1,-1.0,1.0,go
1.0,1.0,0.0,1.0,1.2025564433620275,Cori,1,-1.0,1.0,go
0.0,1.0,0.0,0.0,2.467394450531174,Cori,1,0.0,0.0,no_go
0.0,-1.0,0.0,0.5,2.476400638148789,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.0326876475512563,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,2.1366013020681294,Cori,1,0.5,0.5,go
0.0,1.0,0.0,0.0,2.4044993331979185,Cori,1,0.0,0.0,no_go
-1.0,1.0,1.0,0.25,1.33653056674666,Cori,1,0.75,0.75,go
0.0,1.0,0.0,0.0,2.4957271039454554,Cori,1,0.0,0.0,no_go
1.0,1.0,0.25,0.5,1.3195910781073508,Cori,1,-0.25,0.25,go
1.0,1.0,0.0,1.0,1.5188829148235072,Cori,1,-1.0,1.0,go
0.0,-1.0,0.0,0.25,2.0907906836710026,Cori,1,-0.25,0.25,go
0.0,-1.0,0.5,0.5,2.2178856544103382,Cori,1,0.0,0.0,go
1.0,1.0,0.5,1.0,2.6024248046430785,Cori,1,-0.5,0.5,go
0.0,-1.0,1.0,0.5,2.5305117393847922,Cori,1,0.5,0.5,go
0.0,-1.0,0.5,1.0,2.136201467305682,Cori,1,-0.5,0.5,go
0.0,-1.0,0.25,1.0,2.1503579071700187,Cori,1,-0.75,0.75,go
1.0,1.0,0.25,1.0,1.187533096892821,Cori,1,-0.75,0.75,go
0.0,-1.0,0.5,0.25,2.3853209972298828,Cori,1,0.25,0.25,go
0.0,1.0,0.0,0.0,2.6478893819491987,Cori,1,0.0,0.0,no_go
1.0,1.0,0.0,0.25,1.53622495742934,Cori,1,-0.25,0.25,go
0.0,-1.0,0.5,0.0,2.499970791945998,Cori,1,0.5,0.5,go
0.0,-1.0,0.25,0.0,2.2130511126454167,Cori,1,0.25,0.25,go
0.0,-1.0,0.5,0.0,2.1304857854543116,Cori,1,0.5,0.5,go
0.0,-1.0,0.5,0.0,2.4797003541925733,Cori,1,0.5,0.5,go
1.0,-1.0,1.0,0.25,1.8534673442056828,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.8703800748767208,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.113806564766719,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.469606510903077,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.4531370244383197,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.2203586849968815,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.306213613366708,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.2778607132127036,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.4703814858048645,Cori,1,0.75,0.75,go
-1.0,-1.0,1.0,1.0,1.4842059439259288,Cori,2,0.0,0.0,go
1.0,1.0,0.0,0.25,1.5841512489389942,Cori,2,-0.25,0.25,go
-1.0,-1.0,0.5,0.5,1.4506399026287653,Cori,2,0.0,0.0,go
1.0,1.0,0.0,0.25,1.3345555789432666,Cori,2,-0.25,0.25,go
1.0,-1.0,0.0,0.0,1.167611398277515,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.276060758407624,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,1.0,0.9509628598171105,Cori,2,-1.0,1.0,go
-1.0,1.0,1.0,0.0,0.7841652722888455,Cori,2,1.0,1.0,go
1.0,-1.0,0.0,0.0,1.1009366524701818,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.5120551685323846,Cori,2,0.0,0.0,no_go
-1.0,1.0,1.0,0.0,1.3673844628164318,Cori,2,1.0,1.0,go
-1.0,1.0,0.5,0.0,1.8166297122892274,Cori,2,0.5,0.5,go
1.0,-1.0,0.25,0.25,0.8836832430689299,Cori,2,0.0,0.0,go
-1.0,1.0,1.0,0.0,1.116817461751765,Cori,2,1.0,1.0,go
-1.0,-1.0,0.25,1.0,2.051140106249676,Cori,2,-0.75,0.75,go
1.0,1.0,0.25,1.0,1.3002591759357358,Cori,2,-0.75,0.75,go
-1.0,1.0,0.25,0.25,1.9508934617557827,Cori,2,0.0,0.0,go
-1.0,1.0,0.5,0.5,0.6679365391229055,Cori,2,0.0,0.0,go
-1.0,-1.0,0.0,0.5,1.8334834808702283,Cori,2,-0.5,0.5,go
-1.0,-1.0,0.0,0.0,1.4001237925205317,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.2155658669554157,Cori,2,0.0,0.0,no_go
1.0,-1.0,1.0,0.0,1.2000446654708128,Cori,2,1.0,1.0,go
-1.0,1.0,1.0,0.0,1.2345383639188015,Cori,2,1.0,1.0,go
-1.0,1.0,0.5,0.0,1.3509932676630854,Cori,2,0.5,0.5,go
1.0,1.0,0.0,0.5,0.9333685708118367,Cori,2,-0.5,0.5,go
-1.0,1.0,0.5,0.0,1.150473131204393,Cori,2,0.5,0.5,go
-1.0,-1.0,0.0,0.0,1.2677730615687608,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.654416960997281,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,1.0,0.9678433835805436,Cori,2,-1.0,1.0,go
1.0,1.0,0.0,0.5,0.8173206125559886,Cori,2,-0.5,0.5,go
-1.0,1.0,1.0,0.0,1.201144380845676,Cori,2,1.0,1.0,go
-1.0,-1.0,0.25,0.5,2.1344046749042604,Cori,2,-0.25,0.25,go
-1.0,1.0,1.0,1.0,1.5015875928930313,Cori,2,0.0,0.0,go
0.0,1.0,0.0,0.0,2.488605334497322,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.4216212293176227,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,1.0,0.7005308336903227,Cori,2,-1.0,1.0,go
1.0,1.0,0.25,0.5,1.2177215054044837,Cori,2,-0.25,0.25,go
0.0,1.0,0.0,0.0,2.5385808164863306,Cori,2,0.0,0.0,no_go
1.0,-1.0,0.0,0.0,0.9335248158758986,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.0532748092995803,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.2854258186729908,Cori,2,0.0,0.0,no_go
-1.0,1.0,0.25,0.0,1.1183524249269112,Cori,2,0.25,0.25,go
0.0,1.0,0.0,0.0,2.0257728087288456,Cori,2,0.0,0.0,no_go
-1.0,1.0,1.0,0.0,1.0345353467828318,Cori,2,1.0,1.0,go
-1.0,1.0,0.5,0.0,1.2846638810185596,Cori,2,0.5,0.5,go
1.0,1.0,0.25,0.5,1.30071092266013,Cori,2,-0.25,0.25,go
1.0,1.0,0.0,0.25,0.8342009543893596,Cori,2,-0.25,0.25,go
0.0,1.0,0.0,0.0,2.4638857058764643,Cori,2,0.0,0.0,no_go
0.0,-1.0,0.0,0.5,2.215797829911992,Cori,2,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.1835937593758104,Cori,2,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,0.8843736725459053,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.5797793374102866,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.1075886969463795,Cori,2,0.0,0.0,no_go
-1.0,1.0,0.5,0.25,1.184866489170929,Cori,2,0.25,0.25,go
-1.0,1.0,1.0,0.0,0.6180911825891826,Cori,2,1.0,1.0,go
-1.0,-1.0,0.5,1.0,1.7011779776697153,Cori,2,-0.5,0.5,go
-1.0,1.0,0.5,0.25,1.718540001329643,Cori,2,0.25,0.25,go
-1.0,-1.0,0.0,0.0,0.8012500156973488,Cori,2,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,0.6853454817145916,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.0671984983280822,Cori,2,0.0,0.0,no_go
-1.0,1.0,1.0,0.0,0.9012697145835773,Cori,2,1.0,1.0,go
0.0,1.0,0.0,0.0,2.63147303429497,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.539281765252383,Cori,2,0.0,0.0,no_go
1.0,1.0,0.25,1.0,1.2509263026944382,Cori,2,-0.75,0.75,go
1.0,-1.0,0.25,0.25,1.1685363258834514,Cori,2,0.0,0.0,go
-1.0,1.0,1.0,0.0,1.2177315330886245,Cori,2,1.0,1.0,go
1.0,1.0,0.0,1.0,0.7185199134582945,Cori,2,-1.0,1.0,go
1.0,1.0,1.0,1.0,0.884350965436056,Cori,2,0.0,0.0,go
-1.0,-1.0,0.0,0.0,0.8675411846198813,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.4962501203942793,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,0.5,0.5853574894484268,Cori,2,-0.5,0.5,go
1.0,1.0,0.0,0.5,2.2014458101325545,Cori,2,-0.5,0.5,go
-1.0,1.0,1.0,0.25,0.8351737602991989,Cori,2,0.75,0.75,go
0.0,1.0,0.0,0.0,2.636080400415267,Cori,2,0.0,0.0,no_go
-1.0,1.0,1.0,0.25,1.551779678875505,Cori,2,0.75,0.75,go
1.0,-1.0,0.25,0.25,1.1523827729669165,Cori,2,0.0,0.0,go
1.0,1.0,0.25,0.5,1.185702930028583,Cori,2,-0.25,0.25,go
-1.0,-1.0,0.0,0.5,1.5687555826523294,Cori,2,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.2385149063862855,Cori,2,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,1.6344563887819277,Cori,2,0.5,0.5,go
1.0,1.0,0.5,1.0,1.0689176596833931,Cori,2,-0.5,0.5,go
1.0,1.0,0.0,0.5,0.5682108526608545,Cori,2,-0.5,0.5,go
1.0,1.0,0.5,1.0,0.7846986691185975,Cori,2,-0.5,0.5,go
-1.0,1.0,1.0,0.0,1.6015911143142603,Cori,2,1.0,1.0,go
1.0,1.0,0.0,0.5,0.6353421173645302,Cori,2,-0.5,0.5,go
-1.0,1.0,0.25,0.0,0.6011824487917465,Cori,2,0.25,0.25,go
1.0,1.0,0.0,1.0,1.318210365601658,Cori,2,-1.0,1.0,go
1.0,1.0,0.0,0.5,0.9513088365913518,Cori,2,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.4509253072790216,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,0.5,1.851996553636468,Cori,2,-0.5,0.5,go
1.0,-1.0,0.25,0.0,1.0186703559090802,Cori,2,0.25,0.25,go
1.0,-1.0,1.0,0.0,1.3854441818479017,Cori,2,1.0,1.0,go
-1.0,1.0,1.0,0.0,1.2183799086080853,Cori,2,1.0,1.0,go
-1.0,1.0,0.25,0.25,1.2345841038948038,Cori,2,0.0,0.0,go
1.0,1.0,0.0,0.5,0.6514497496178819,Cori,2,-0.5,0.5,go
1.0,-1.0,0.0,0.0,1.0357167391666735,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.6444311647084078,Cori,2,0.0,0.0,no_go
-1.0,1.0,0.25,0.25,1.3041492638791397,Cori,2,0.0,0.0,go
0.0,-1.0,0.25,0.5,2.4666973027345875,Cori,2,-0.25,0.25,go
1.0,1.0,0.0,1.0,1.0688943630711947,Cori,2,-1.0,1.0,go
-1.0,1.0,0.5,0.0,1.3358995997290322,Cori,2,0.5,0.5,go
0.0,-1.0,0.5,0.25,2.3319449931362897,Cori,2,0.25,0.25,go
0.0,-1.0,1.0,0.25,2.183185583311001,Cori,2,0.75,0.75,go
-1.0,1.0,1.0,0.25,0.6356291759174155,Cori,2,0.75,0.75,go
1.0,1.0,0.0,0.5,1.2517006231419145,Cori,2,-0.5,0.5,go
-1.0,-1.0,0.0,0.0,0.9519605472668218,Cori,2,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,1.0025957193709019,Cori,2,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,1.0689681384616279,Cori,2,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.126564042735936,Cori,2,0.0,0.0,no_go
1.0,1.0,0.0,1.0,1.218184304895658,Cori,2,-1.0,1.0,go
-1.0,1.0,1.0,1.0,1.3682640554573027,Cori,2,0.0,0.0,go
-1.0,1.0,0.25,0.0,0.6191666021059063,Cori,2,0.25,0.25,go
0.0,-1.0,0.5,0.0,2.2789389535822693,Cori,2,0.5,0.5,go
